params,MostNaive,DeepDataDepthAnomalyDetector
"('MVTec-AD_screw', 0.5, 1)",,
"('MVTec-AD_screw', 0.75, 1)",,
"('MVTec-AD_screw', 1.0, 1)",,
"('SVHN_9', 0.0, 1)",0.5147411359857712,0.5012566214282952
"('SVHN_9', 0.01, 1)",,
"('SVHN_9', 0.05, 1)",,
"('SVHN_9', 0.1, 1)",,
"('SVHN_9', 0.25, 1)",,
"('SVHN_9', 0.5, 1)",,
"('SVHN_9', 0.75, 1)",,
"('SVHN_9', 1.0, 1)",,
"('SVHN_0', 0.0, 1)",0.47411724078390743,0.49328757662090994
"('SVHN_0', 0.01, 1)",,
"('SVHN_0', 0.05, 1)",,
"('SVHN_0', 0.1, 1)",,
"('SVHN_0', 0.25, 1)",,
"('SVHN_0', 0.5, 1)",,
"('SVHN_0', 0.75, 1)",,
"('SVHN_0', 1.0, 1)",,
"('CIFAR10_0', 0.0, 1)",0.8378987341772152,0.7291139240506329
"('CIFAR10_0', 0.01, 1)",,
"('CIFAR10_0', 0.05, 1)",,
"('CIFAR10_0', 0.1, 1)",,
"('CIFAR10_0', 0.25, 1)",,
"('CIFAR10_0', 0.5, 1)",,
"('CIFAR10_0', 0.75, 1)",,
"('CIFAR10_0', 1.0, 1)",,
"('CIFAR10_7', 0.0, 1)",0.9140759493670887,0.8856877637130802
"('CIFAR10_7', 0.01, 1)",,
"('CIFAR10_7', 0.05, 1)",,
"('CIFAR10_7', 0.1, 1)",,
"('CIFAR10_7', 0.25, 1)",,
"('CIFAR10_7', 0.5, 1)",,
"('CIFAR10_7', 0.75, 1)",,
"('CIFAR10_7', 1.0, 1)",,
"('CIFAR10_1', 0.0, 1)",0.910759493670886,0.870084388185654
"('CIFAR10_1', 0.01, 1)",,
"('CIFAR10_1', 0.05, 1)",,
"('CIFAR10_1', 0.1, 1)",,
"('CIFAR10_1', 0.25, 1)",,
"('CIFAR10_1', 0.5, 1)",,
"('CIFAR10_1', 0.75, 1)",,
"('CIFAR10_1', 1.0, 1)",,
"('CIFAR10_2', 0.0, 1)",0.8501265822784811,0.7438143459915613
"('CIFAR10_2', 0.01, 1)",,
"('CIFAR10_2', 0.05, 1)",,
"('CIFAR10_2', 0.1, 1)",,
"('CIFAR10_2', 0.25, 1)",,
"('CIFAR10_2', 0.5, 1)",,
"('CIFAR10_2', 0.75, 1)",,
"('CIFAR10_2', 1.0, 1)",,
"('CIFAR10_3', 0.0, 1)",0.8592995780590716,0.791789029535865
"('CIFAR10_3', 0.01, 1)",,
"('CIFAR10_3', 0.05, 1)",,
"('CIFAR10_3', 0.1, 1)",,
"('CIFAR10_3', 0.25, 1)",,
"('CIFAR10_3', 0.5, 1)",,
"('CIFAR10_3', 0.75, 1)",,
"('CIFAR10_3', 1.0, 1)",,
"('CIFAR10_4', 0.0, 1)",0.8804472573839662,0.8000337552742616
"('CIFAR10_4', 0.01, 1)",,
"('CIFAR10_4', 0.05, 1)",,
"('CIFAR10_4', 0.1, 1)",,
"('CIFAR10_4', 0.25, 1)",,
"('CIFAR10_4', 0.5, 1)",,
"('CIFAR10_4', 0.75, 1)",,
"('CIFAR10_4', 1.0, 1)",,
"('CIFAR10_5', 0.0, 1)",0.9019746835443038,0.7599831223628691
"('CIFAR10_5', 0.01, 1)",,
"('CIFAR10_5', 0.05, 1)",,
"('CIFAR10_5', 0.1, 1)",,
"('CIFAR10_5', 0.25, 1)",,
"('CIFAR10_5', 0.5, 1)",,
"('CIFAR10_5', 0.75, 1)",,
"('CIFAR10_5', 1.0, 1)",,
"('CIFAR10_6', 0.0, 1)",0.8734599156118144,0.9083628691983122
"('CIFAR10_6', 0.01, 1)",,
"('CIFAR10_6', 0.05, 1)",,
"('CIFAR10_6', 0.1, 1)",,
"('CIFAR10_6', 0.25, 1)",,
"('CIFAR10_6', 0.5, 1)",,
"('CIFAR10_6', 0.75, 1)",,
"('CIFAR10_6', 1.0, 1)",,
"('CIFAR10_8', 0.0, 1)",0.9202616033755274,0.878084388185654
"('CIFAR10_8', 0.01, 1)",,
"('CIFAR10_8', 0.05, 1)",,
"('CIFAR10_8', 0.1, 1)",,
"('CIFAR10_8', 0.25, 1)",,
"('CIFAR10_8', 0.5, 1)",,
"('CIFAR10_8', 0.75, 1)",,
"('CIFAR10_8', 1.0, 1)",,
"('CIFAR10_9', 0.0, 1)",0.9319831223628693,0.9110126582278482
"('CIFAR10_9', 0.01, 1)",,
"('CIFAR10_9', 0.05, 1)",,
"('CIFAR10_9', 0.1, 1)",,
"('CIFAR10_9', 0.25, 1)",,
"('CIFAR10_9', 0.5, 1)",,
"('CIFAR10_9', 0.75, 1)",,
"('CIFAR10_9', 1.0, 1)",,
"('SVHN_8', 0.0, 1)",0.5614672835426305,0.5622191011235954
"('SVHN_8', 0.01, 1)",,
"('SVHN_8', 0.05, 1)",,
"('SVHN_8', 0.1, 1)",,
"('SVHN_8', 0.25, 1)",,
"('SVHN_8', 0.5, 1)",,
"('SVHN_8', 0.75, 1)",,
"('SVHN_8', 1.0, 1)",,
"('SVHN_7', 0.0, 1)",0.569176728572202,0.5797214250906925
"('SVHN_7', 0.01, 1)",,
"('SVHN_7', 0.05, 1)",,
"('SVHN_7', 0.1, 1)",,
"('SVHN_7', 0.25, 1)",,
"('SVHN_7', 0.5, 1)",,
"('SVHN_7', 0.75, 1)",,
"('SVHN_7', 1.0, 1)",,
"('SVHN_6', 0.0, 1)",0.5283368883717924,0.5065024885269213
"('SVHN_6', 0.01, 1)",,
"('SVHN_6', 0.05, 1)",,
"('SVHN_6', 0.1, 1)",,
"('SVHN_6', 0.25, 1)",,
"('SVHN_6', 0.5, 1)",,
"('SVHN_6', 0.75, 1)",,
"('SVHN_6', 1.0, 1)",,
"('FashionMNIST_7', 0.0, 1)",0.9706140350877193,0.9354035087719298
"('FashionMNIST_7', 0.01, 1)",,
"('FashionMNIST_7', 0.05, 1)",,
"('FashionMNIST_7', 0.1, 1)",,
"('FashionMNIST_7', 0.25, 1)",,
"('FashionMNIST_7', 0.5, 1)",,
"('FashionMNIST_7', 0.75, 1)",,
"('FashionMNIST_7', 1.0, 1)",,
"('FashionMNIST_2', 0.0, 1)",0.924625730994152,0.891812865497076
"('FashionMNIST_2', 0.01, 1)",,
"('FashionMNIST_2', 0.05, 1)",,
"('FashionMNIST_2', 0.1, 1)",,
"('FashionMNIST_2', 0.25, 1)",,
"('FashionMNIST_2', 0.5, 1)",,
"('FashionMNIST_2', 0.75, 1)",,
"('FashionMNIST_2', 1.0, 1)",,
"('FashionMNIST_8', 0.0, 1)",0.8954210526315789,0.9040116959064327
"('FashionMNIST_8', 0.01, 1)",,
"('FashionMNIST_8', 0.05, 1)",,
"('FashionMNIST_8', 0.1, 1)",,
"('FashionMNIST_8', 0.25, 1)",,
"('FashionMNIST_8', 0.5, 1)",,
"('FashionMNIST_8', 0.75, 1)",,
"('FashionMNIST_8', 1.0, 1)",,
"('FashionMNIST_0', 0.0, 1)",0.8648421052631579,0.8008888888888888
"('FashionMNIST_0', 0.01, 1)",,
"('FashionMNIST_0', 0.05, 1)",,
"('FashionMNIST_0', 0.1, 1)",,
"('FashionMNIST_0', 0.25, 1)",,
"('FashionMNIST_0', 0.5, 1)",,
"('FashionMNIST_0', 0.75, 1)",,
"('FashionMNIST_0', 1.0, 1)",,
"('FashionMNIST_4', 0.0, 1)",0.860953216374269,0.8331812865497075
"('FashionMNIST_4', 0.01, 1)",,
"('FashionMNIST_4', 0.05, 1)",,
"('FashionMNIST_4', 0.1, 1)",,
"('FashionMNIST_4', 0.25, 1)",,
"('FashionMNIST_4', 0.5, 1)",,
"('FashionMNIST_4', 0.75, 1)",,
"('FashionMNIST_4', 1.0, 1)",,
"('FashionMNIST_1', 0.0, 1)",0.9808011695906433,0.9783216374269006
"('FashionMNIST_1', 0.01, 1)",,
"('FashionMNIST_1', 0.05, 1)",,
"('FashionMNIST_1', 0.1, 1)",,
"('FashionMNIST_1', 0.25, 1)",,
"('FashionMNIST_1', 0.5, 1)",,
"('FashionMNIST_1', 0.75, 1)",,
"('FashionMNIST_1', 1.0, 1)",,
"('FashionMNIST_5', 0.0, 1)",0.9221461988304094,0.898578947368421
"('FashionMNIST_5', 0.01, 1)",,
"('FashionMNIST_5', 0.05, 1)",,
"('FashionMNIST_5', 0.1, 1)",,
"('FashionMNIST_5', 0.25, 1)",,
"('FashionMNIST_5', 0.5, 1)",,
"('FashionMNIST_5', 0.75, 1)",,
"('FashionMNIST_5', 1.0, 1)",,
"('FashionMNIST_3', 0.0, 1)",0.8306959064327486,0.8305438596491229
"('FashionMNIST_3', 0.01, 1)",,
"('FashionMNIST_3', 0.05, 1)",,
"('FashionMNIST_3', 0.1, 1)",,
"('FashionMNIST_3', 0.25, 1)",,
"('FashionMNIST_3', 0.5, 1)",,
"('FashionMNIST_3', 0.75, 1)",,
"('FashionMNIST_3', 1.0, 1)",,
"('FashionMNIST_9', 0.0, 1)",0.9753508771929825,0.9565555555555555
"('FashionMNIST_9', 0.01, 1)",,
"('FashionMNIST_9', 0.05, 1)",,
"('FashionMNIST_9', 0.1, 1)",,
"('FashionMNIST_9', 0.25, 1)",,
"('FashionMNIST_9', 0.5, 1)",,
"('FashionMNIST_9', 0.75, 1)",,
"('FashionMNIST_9', 1.0, 1)",,
"('FashionMNIST_6', 0.0, 1)",0.8012105263157894,0.8135146198830409
"('FashionMNIST_6', 0.01, 1)",,
"('FashionMNIST_6', 0.05, 1)",,
"('FashionMNIST_6', 0.1, 1)",,
"('FashionMNIST_6', 0.25, 1)",,
"('FashionMNIST_6', 0.5, 1)",,
"('FashionMNIST_6', 0.75, 1)",,
"('FashionMNIST_6', 1.0, 1)",,
"('SVHN_5', 0.0, 1)",0.5269342692760512,0.5308616744785304
"('SVHN_5', 0.01, 1)",,
"('SVHN_5', 0.05, 1)",,
"('SVHN_5', 0.1, 1)",,
"('SVHN_5', 0.25, 1)",,
"('SVHN_5', 0.5, 1)",,
"('SVHN_5', 0.75, 1)",,
"('SVHN_5', 1.0, 1)",,
"('SVHN_4', 0.0, 1)",0.4944765613753287,0.4643287393073351
"('SVHN_4', 0.01, 1)",,
"('SVHN_4', 0.05, 1)",,
"('SVHN_4', 0.1, 1)",,
"('SVHN_4', 0.25, 1)",,
"('SVHN_4', 0.5, 1)",,
"('SVHN_4', 0.75, 1)",,
"('SVHN_4', 1.0, 1)",,
"('SVHN_3', 0.0, 1)",0.5212437810945273,0.5753819139596137
"('SVHN_3', 0.01, 1)",,
"('SVHN_3', 0.05, 1)",,
"('SVHN_3', 0.1, 1)",,
"('SVHN_3', 0.25, 1)",,
"('SVHN_3', 0.5, 1)",,
"('SVHN_3', 0.75, 1)",,
"('SVHN_3', 1.0, 1)",,
"('MNIST-C_zigzag', 0.0, 1)",0.655085380116959,0.5759111111111113
"('MNIST-C_zigzag', 0.01, 1)",,
