params,DeepDataDepthAnomalyDetector
"('MVTec-AD_carpet', 0.75, 1)",
"('MVTec-AD_carpet', 1.0, 1)",
"('MVTec-AD_capsule', 0.0, 1)",0.6085388795986623
"('MVTec-AD_capsule', 0.01, 1)",
"('MVTec-AD_capsule', 0.05, 1)",
"('MVTec-AD_capsule', 0.1, 1)",
"('MVTec-AD_capsule', 0.25, 1)",
"('MVTec-AD_capsule', 0.5, 1)",
"('MVTec-AD_capsule', 0.75, 1)",
"('MVTec-AD_capsule', 1.0, 1)",
"('14_glass', 0.0, 1)",0.5532028946663092
"('14_glass', 0.01, 1)",
"('14_glass', 0.05, 1)",
"('14_glass', 0.1, 1)",
"('14_glass', 0.25, 1)",
"('14_glass', 0.5, 1)",
"('14_glass', 0.75, 1)",
"('14_glass', 1.0, 1)",
"('15_Hepatitis', 0.0, 1)",0.5946137491141035
"('15_Hepatitis', 0.01, 1)",
"('15_Hepatitis', 0.05, 1)",
"('15_Hepatitis', 0.1, 1)",
"('15_Hepatitis', 0.25, 1)",
"('15_Hepatitis', 0.5, 1)",
"('15_Hepatitis', 0.75, 1)",
"('15_Hepatitis', 1.0, 1)",
"('MVTec-AD_pill', 0.0, 1)",0.6451662879570337
"('MVTec-AD_pill', 0.01, 1)",
"('MVTec-AD_pill', 0.05, 1)",
"('MVTec-AD_pill', 0.1, 1)",
"('MVTec-AD_pill', 0.25, 1)",
"('MVTec-AD_pill', 0.5, 1)",
"('MVTec-AD_pill', 0.75, 1)",
"('MVTec-AD_pill', 1.0, 1)",
"('42_WBC', 0.0, 1)",0.9803448275862069
"('42_WBC', 0.01, 1)",
"('42_WBC', 0.05, 1)",
"('42_WBC', 0.1, 1)",
"('42_WBC', 0.25, 1)",
"('42_WBC', 0.5, 1)",
"('42_WBC', 0.75, 1)",
"('42_WBC', 1.0, 1)",
"('MVTec-AD_bottle', 0.0, 1)",0.9461865793780687
"('MVTec-AD_bottle', 0.01, 1)",
"('MVTec-AD_bottle', 0.05, 1)",
"('MVTec-AD_bottle', 0.1, 1)",
"('MVTec-AD_bottle', 0.25, 1)",
"('MVTec-AD_bottle', 0.5, 1)",
"('MVTec-AD_bottle', 0.75, 1)",
"('MVTec-AD_bottle', 1.0, 1)",
"('MVTec-AD_leather', 0.0, 1)",0.9609032109032108
"('MVTec-AD_leather', 0.01, 1)",
"('MVTec-AD_leather', 0.05, 1)",
"('MVTec-AD_leather', 0.1, 1)",
"('MVTec-AD_leather', 0.25, 1)",
"('MVTec-AD_leather', 0.5, 1)",
"('MVTec-AD_leather', 0.75, 1)",
"('MVTec-AD_leather', 1.0, 1)",
"('21_Lymphography', 0.0, 1)",0.8925221120343071
"('21_Lymphography', 0.01, 1)",
"('21_Lymphography', 0.05, 1)",
"('21_Lymphography', 0.1, 1)",
"('21_Lymphography', 0.25, 1)",
"('21_Lymphography', 0.5, 1)",
"('21_Lymphography', 0.75, 1)",
"('21_Lymphography', 1.0, 1)",
"('MVTec-AD_metal_nut', 0.0, 1)",0.6367168262653897
"('MVTec-AD_metal_nut', 0.01, 1)",
"('MVTec-AD_metal_nut', 0.05, 1)",
"('MVTec-AD_metal_nut', 0.1, 1)",
"('MVTec-AD_metal_nut', 0.25, 1)",
"('MVTec-AD_metal_nut', 0.5, 1)",
"('MVTec-AD_metal_nut', 0.75, 1)",
"('MVTec-AD_metal_nut', 1.0, 1)",
"('18_Ionosphere', 0.0, 1)",0.8811192144525478
"('18_Ionosphere', 0.01, 1)",
"('18_Ionosphere', 0.05, 1)",
"('18_Ionosphere', 0.1, 1)",
"('18_Ionosphere', 0.25, 1)",
"('18_Ionosphere', 0.5, 1)",
"('18_Ionosphere', 0.75, 1)",
"('18_Ionosphere', 1.0, 1)",
"('40_vowels', 0.0, 1)",0.7818325434439178
