params,MostNaive
"('MVTec-AD_carpet', 0.75, 1)",
"('MVTec-AD_carpet', 1.0, 1)",
"('MVTec-AD_capsule', 0.0, 1)",0.6578699832775918
"('MVTec-AD_capsule', 0.01, 1)",
"('MVTec-AD_capsule', 0.05, 1)",
"('MVTec-AD_capsule', 0.1, 1)",
"('MVTec-AD_capsule', 0.25, 1)",
"('MVTec-AD_capsule', 0.5, 1)",
"('MVTec-AD_capsule', 0.75, 1)",
"('MVTec-AD_capsule', 1.0, 1)",
"('14_glass', 0.0, 1)",0.4888769766818547
"('14_glass', 0.01, 1)",
"('14_glass', 0.05, 1)",
"('14_glass', 0.1, 1)",
"('14_glass', 0.25, 1)",
"('14_glass', 0.5, 1)",
"('14_glass', 0.75, 1)",
"('14_glass', 1.0, 1)",
"('15_Hepatitis', 0.0, 1)",0.746751712733286
"('15_Hepatitis', 0.01, 1)",
"('15_Hepatitis', 0.05, 1)",
"('15_Hepatitis', 0.1, 1)",
"('15_Hepatitis', 0.25, 1)",
"('15_Hepatitis', 0.5, 1)",
"('15_Hepatitis', 0.75, 1)",
"('15_Hepatitis', 1.0, 1)",
"('MVTec-AD_pill', 0.0, 1)",0.6446498657302211
"('MVTec-AD_pill', 0.01, 1)",
"('MVTec-AD_pill', 0.05, 1)",
"('MVTec-AD_pill', 0.1, 1)",
"('MVTec-AD_pill', 0.25, 1)",
"('MVTec-AD_pill', 0.5, 1)",
"('MVTec-AD_pill', 0.75, 1)",
"('MVTec-AD_pill', 1.0, 1)",
"('42_WBC', 0.0, 1)",0.9889655172413793
"('42_WBC', 0.01, 1)",
"('42_WBC', 0.05, 1)",
"('42_WBC', 0.1, 1)",
"('42_WBC', 0.25, 1)",
"('42_WBC', 0.5, 1)",
"('42_WBC', 0.75, 1)",
"('42_WBC', 1.0, 1)",
"('MVTec-AD_bottle', 0.0, 1)",0.9654991816693944
"('MVTec-AD_bottle', 0.01, 1)",
"('MVTec-AD_bottle', 0.05, 1)",
"('MVTec-AD_bottle', 0.1, 1)",
"('MVTec-AD_bottle', 0.25, 1)",
"('MVTec-AD_bottle', 0.5, 1)",
"('MVTec-AD_bottle', 0.75, 1)",
"('MVTec-AD_bottle', 1.0, 1)",
"('MVTec-AD_leather', 0.0, 1)",0.9726842226842227
"('MVTec-AD_leather', 0.01, 1)",
"('MVTec-AD_leather', 0.05, 1)",
"('MVTec-AD_leather', 0.1, 1)",
"('MVTec-AD_leather', 0.25, 1)",
"('MVTec-AD_leather', 0.5, 1)",
"('MVTec-AD_leather', 0.75, 1)",
"('MVTec-AD_leather', 1.0, 1)",
"('21_Lymphography', 0.0, 1)",0.9927633342267488
"('21_Lymphography', 0.01, 1)",
"('21_Lymphography', 0.05, 1)",
"('21_Lymphography', 0.1, 1)",
"('21_Lymphography', 0.25, 1)",
"('21_Lymphography', 0.5, 1)",
"('21_Lymphography', 0.75, 1)",
"('21_Lymphography', 1.0, 1)",
"('MVTec-AD_metal_nut', 0.0, 1)",0.611655266757866
"('MVTec-AD_metal_nut', 0.01, 1)",
"('MVTec-AD_metal_nut', 0.05, 1)",
"('MVTec-AD_metal_nut', 0.1, 1)",
"('MVTec-AD_metal_nut', 0.25, 1)",
"('MVTec-AD_metal_nut', 0.5, 1)",
"('MVTec-AD_metal_nut', 0.75, 1)",
"('MVTec-AD_metal_nut', 1.0, 1)",
"('18_Ionosphere', 0.0, 1)",0.7841174507841173
"('18_Ionosphere', 0.01, 1)",
"('18_Ionosphere', 0.05, 1)",
"('18_Ionosphere', 0.1, 1)",
"('18_Ionosphere', 0.25, 1)",
"('18_Ionosphere', 0.5, 1)",
"('18_Ionosphere', 0.75, 1)",
"('18_Ionosphere', 1.0, 1)",
"('40_vowels', 0.0, 1)",0.5521327014218009
"('40_vowels', 0.01, 1)",
